epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1268.06,0.00902,1.53053,1.33552,0.62698,0.62462,0.62791,0.35235,0.01095,2.19447,1.69821,0.000580174,0.000580174,0.000580174
62,1288.92,0.0091,1.5279,1.32438,0.67493,0.57244,0.61731,0.35588,0.01102,2.17799,1.72781,0.000566027,0.000566027,0.000566027
63,1309.4,0.00905,1.51798,1.33617,0.65557,0.59326,0.61515,0.34532,0.01073,2.202,1.67964,0.00055188,0.00055188,0.00055188
64,1330.11,0.00902,1.49901,1.33602,0.66321,0.59792,0.63399,0.36354,0.01076,2.10454,1.66839,0.000537733,0.000537733,0.000537733
65,1350.63,0.00892,1.48025,1.327,0.6214,0.63862,0.6332,0.35105,0.01115,2.1602,1.70715,0.000523586,0.000523586,0.000523586
66,1371.36,0.00884,1.48379,1.31645,0.63404,0.66421,0.63429,0.35746,0.01079,2.02232,1.68405,0.000509438,0.000509438,0.000509438
67,1391.7,0.00888,1.48058,1.33026,0.61994,0.63086,0.61392,0.35353,0.01076,2.06329,1.70202,0.000495291,0.000495291,0.000495291
68,1412.3,0.00885,1.46361,1.32728,0.65047,0.65027,0.65469,0.37569,0.01086,2.08728,1.71194,0.000481144,0.000481144,0.000481144
69,1432.8,0.00873,1.46385,1.30874,0.62585,0.65336,0.62738,0.36773,0.01069,2.12854,1.70169,0.000466997,0.000466997,0.000466997
70,1453.5,0.00876,1.43035,1.2957,0.62673,0.62555,0.62451,0.35589,0.01068,2.12696,1.67672,0.00045285,0.00045285,0.00045285
71,1473.89,0.00879,1.46894,1.30923,0.61264,0.62637,0.59764,0.3461,0.01091,2.22546,1.69006,0.000438703,0.000438703,0.000438703
72,1494.54,0.00862,1.40673,1.29367,0.62457,0.6521,0.64264,0.3667,0.01082,2.10182,1.67737,0.000424556,0.000424556,0.000424556
73,1514.84,0.00857,1.40773,1.29437,0.63483,0.63984,0.62938,0.35977,0.01079,2.04339,1.69368,0.000410409,0.000410409,0.000410409
74,1535.4,0.00844,1.41404,1.30203,0.65889,0.61375,0.62335,0.34944,0.01068,2.1651,1.6848,0.000396262,0.000396262,0.000396262
75,1556.05,0.00858,1.41055,1.28172,0.64734,0.651,0.6437,0.36957,0.01053,2.08594,1.6823,0.000382115,0.000382115,0.000382115
76,1576.31,0.00847,1.36189,1.28464,0.63272,0.65863,0.63712,0.35762,0.01082,2.2067,1.71623,0.000367967,0.000367967,0.000367967
77,1596.79,0.00844,1.39089,1.28661,0.66887,0.66167,0.6533,0.38093,0.01043,2.06777,1.64556,0.00035382,0.00035382,0.00035382
78,1617.52,0.00849,1.37668,1.27926,0.66031,0.63356,0.63353,0.36404,0.01062,2.0653,1.67745,0.000339673,0.000339673,0.000339673
79,1637.83,0.00815,1.28403,1.24693,0.63316,0.64991,0.63517,0.36365,0.01057,2.0904,1.69407,0.000325526,0.000325526,0.000325526
80,1658.4,0.0082,1.30141,1.26421,0.65235,0.64476,0.64676,0.37368,0.01055,2.11689,1.70614,0.000311379,0.000311379,0.000311379
81,1678.67,0.00828,1.32177,1.2612,0.64456,0.6416,0.64148,0.36472,0.01056,2.07171,1.68436,0.000297232,0.000297232,0.000297232
82,1699.18,0.00814,1.3154,1.25499,0.62996,0.63536,0.63966,0.36867,0.01086,2.18262,1.73587,0.000283085,0.000283085,0.000283085
83,1719.84,0.00802,1.24584,1.23188,0.58715,0.66188,0.63594,0.37221,0.01068,2.11634,1.70429,0.000268938,0.000268938,0.000268938
84,1740.08,0.00798,1.24955,1.23377,0.64935,0.67069,0.65656,0.38618,0.01058,2.09226,1.67256,0.000254791,0.000254791,0.000254791
85,1760.76,0.00802,1.26156,1.25004,0.59617,0.69595,0.63932,0.38246,0.01055,2.04591,1.67671,0.000240644,0.000240644,0.000240644
86,1781.35,0.00791,1.21819,1.22685,0.64114,0.65957,0.64529,0.38636,0.01058,2.02662,1.69923,0.000226497,0.000226497,0.000226497
87,1801.64,0.00801,1.25569,1.22721,0.67067,0.63546,0.65239,0.38133,0.01048,2.0385,1.70239,0.000212349,0.000212349,0.000212349
88,1822.28,0.00797,1.27099,1.23424,0.63075,0.67187,0.65266,0.37769,0.01061,2.03617,1.7236,0.000198202,0.000198202,0.000198202
89,1842.57,0.0077,1.19672,1.20215,0.64836,0.67461,0.65335,0.38029,0.01055,2.05153,1.7059,0.000184055,0.000184055,0.000184055
90,1863.18,0.0077,1.15885,1.20695,0.65732,0.66291,0.65101,0.37945,0.01048,2.02875,1.7109,0.000169908,0.000169908,0.000169908
